Frame,children_crossing,keep_right,no_stopping,no_entry,stop_sign,pedestrians,parking_area_end,give_way,no_stopping_start,no_parking_start,pedestrian_crossing_left,speed_limit_30,parking,no_parking_end,no_stopping_end,pedestrian_crossing_right,parking_area_start
0000000329,,,,,,,,,,,,,,,,,
0000000328,,,,,,,,,,,,,,,,,
0000000046,,,,,"835,34 . 797,0 . 800,67 . 871,68 . 878,-7",,,,,,,,,,,,
0000000047,,,,,"835,34 . 797,0 . 798,68 . 872,67 . 875,-2",,,,,,,,,,,,
0000000044,,,,,"835,34 . 795,-2 . 803,64 . 869,65 . 880,-8",,,,,,,,,,,,
0000000045,,,,,"835,34 . 797,-1 . 799,68 . 871,67 . 875,-4",,,,,,,,,,,,
0000000042,,,,,"835,34 . 794,-2 . 803,64 . 869,65 . 880,-9",,,,,,,,,,,,
0000000043,,,,,"835,34 . 792,-4 . 805,62 . 867,62 . 883,-11",,,,,,,,,,,,
0000000040,,,,,"835,34 . 796,-2 . 802,66 . 869,67 . 881,-10",,,,,,,,,,,,
0000000041,,,,,"835,34 . 797,0 . 799,68 . 871,67 . 876,-5",,,,,,,,,,,,
0000000121,,,,,,,,,,,,,,,,,
0000000120,,,,,,,,,,,,,,,,,
0000000123,,,,,,,,,,,,,,,,,
0000000122,,,,,,,,,,,,,,,,,
0000000125,,,,,,,,,,,,,,,,,
0000000124,,,,,,,,,,,,,,,,,
0000000048,,,,,"835,35 . 797,0 . 799,70 . 871,67 . 874,-2",,,,,,,,,,,,
0000000049,,,,,"836,34 . 798,0 . 798,71 . 873,68 . 874,-2",,,,,,,,,,,,
0000000323,,,,,,,,,,,,,,,,,
0000000322,,,,,,,,,,,,,,,,,
0000000349,,,,,,,,,,,,,,,,,
0000000348,,,,,,,,,,,,,,,,,
0000000345,,,,,,,,,,,,,,,,,
0000000344,,,,,,,,,,,,,,,,,
0000000347,,,,,,,,,,,,,,,,,
0000000346,,,,,,,,,,,,,,,,,
0000000341,,,,,,,,,,,,,,,,,
0000000340,,,,,,,,,,,,,,,,,
0000000343,,,,,,,,,,,,,,,,,
0000000342,,,,,,,,,,,,,,,,,
0000000129,,,,,,,,,,,,,,,,,
0000000128,,,,,,,,,,,,,,,,,
0000000082,,,,,,,,,,,,,,,,,
0000000083,,,,,,,,,,,,,,,,,
0000000080,,,,,,,,,,,,,,,,,
0000000081,,,,,,,,,,,,,,,,,
0000000086,,,,,,,,,,,,,,,,,
0000000127,,,,,,,,,,,,,,,,,
0000000084,,,,,,,,,,,,,,,,,
0000000085,,,,,,,,,,,,,,,,,
0000000088,,,,,,,,,,,,,,,,,
0000000126,,,,,,,,,,,,,,,,,
0000000165,,,,,,,,,,,,,,,,,
0000000164,,,,,,,,,,,,,,,,,
0000000167,,,,,,,,,,,,,,,,,
0000000166,,,,,,,,,,,,,,,,,
0000000248,,,,,,,,,,,,,,,,,
0000000249,,,,,,,,,,,,,,,,,
0000000163,,,,,,,,,,,,,,,,,
0000000162,,,,,,,,,,,,,,,,,
0000000244,,,,,,,,,,,,,,,,,
0000000245,,,,,,,,,,,,,,,,"0,0 . 0,0 . 0,0 . 0,0 . 0,0",
0000000246,,,,,,,,,,,,,,,,,
0000000247,,,,,,,,,,,,,,,,,
0000000169,,,,,,,,,,,,,,,,,
0000000168,,,,,"0,0 . 0,0 . 0,0 . 0,0 . 0,0",,,,,,"808,123 . 795,115 . 799,116 . 781,106 . 794,111",,,,,,
0000000242,,,,,,,,,,,,,,,,,
0000000243,,,,,,,,,,,,,,,,,
0000000176,,,,,,,,,,,,,,,,,
0000000177,,,,,,,,,,,,,,,,,
0000000019,,,,,"835,34 . 794,-2 . 803,64 . 869,65 . 880,-9",,,,,,,,,,,,
0000000018,,,,,"835,34 . 797,-1 . 799,68 . 871,67 . 876,-5",,,,,,,,,,,,
0000000011,,,,,"835,34 . 796,-2 . 802,66 . 869,67 . 881,-10",,,,,,,,,,,,
0000000010,,,,,"835,34 . 796,-2 . 801,66 . 869,67 . 881,-9",,,,,,,,,,,,
0000000013,,,,,"835,34 . 796,-2 . 802,65 . 869,67 . 881,-10",,,,,,,,,,,,
0000000012,,,,,"835,34 . 798,1 . 797,70 . 873,68 . 873,-2",,,,,,,,,,,,
0000000015,,,,,"835,34 . 796,-1 . 799,68 . 871,67 . 876,-5",,,,,,,,,,,,
0000000014,,,,,"835,34 . 789,-7 . 805,64 . 865,61 . 878,-8",,,,,,,,,,,,
0000000017,,,,,"835,34 . 789,-7 . 805,64 . 865,60 . 877,-7",,,,,,,,,,,,
0000000016,,,,,"835,34 . 797,-1 . 799,68 . 871,67 . 876,-5",,,,,,,,,,,,
0000000277,,,,,,,,,,,,,,,,,
0000000179,"969,82 . 963,53 . 1024,75 . 966,65 . 1010,77",,,,,,,,,,,"861,101 . 765,50 . 481,-98 . 771,53 . 427,-127",,,,,
